 NUMBER OF NODES FOR CONCRETE                 402
 NUMBER OF NODES FOR STEEL+SHEET                0
 TOTAL NUMBER OF NODES                        402
 NUMBER OF ELEMENTS FOR CONCRETE              203
 NUMBER OF ELEMENTS FOR STEEL+SHEET             0
 TOTAL NUMBER OF ELEMENTS                     203
 TOTAL NUMBER OF MATERIAL                       5
 NUMBER OF STEEL BARS AND SHEET                 0
 NUMBER OF ELEMENTS FOR STEEL                   0
 NUMBER OF ELEMENTS FOR FRP SHEET               0
 NUMBER OF ELEMENTS FOR TENSION STEEL           0
 NUMBER OF ELEMENTS FOR COMPRESSION STEEL           0
 NUMBER OF ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF ELEMENTS FOR UPPER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR STEEL                   0
 NUMBER OF BOND ELEMENTS FOR FRP SHEET               0
 NUMBER OF BOND ELEMENTS FOR TENSION STEEL           0
 NUMBER OF BOND ELEMENTS FOR COMPRESSIONSTEEL           0
 NUMBER OF BOND ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF BOND ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR UPPER FRP SHEET           0
  ***************KH********************  
 NUMBER OF SPRINGS FOR CONCRETE              518
 NUMBER OF SPRINGS FOR STEEL AND FRP           0
 NUMBER OF SPRINGS FOR BOND                    0
  ***************KH********************  
  COORDINATES OF NODAL POINTS  
   NOD     X      Y
  252 1082.5479  175.0416
  253 1140.7754   36.0932
  254 1161.0242  177.7822
  255 1161.8583  200.0000
  256 1234.0669   35.5436
  257 1108.7885   67.8492
  258 1141.0807   63.7542
  259 1130.1284  170.4589
  260 1377.7045  172.6530
  261 1362.4495  200.0000
  262 1173.5693   68.1522
  263 1151.6000   71.6694
  264 1187.7839  156.8352
  265 1191.5831  156.1051
  266 1229.5282  164.4014
  267 1236.7036  200.0000
  268 1176.0507   32.4434
  269 1233.4961   34.9875
  270 1425.3810    0.0000
  271 1226.3878  161.0791
  272 1201.7778  160.8669
  273 1225.5925   79.6119
  274 1256.1191  119.5576
  275 1386.2035   50.0115
  276 1384.4537   70.4307
  277 1366.5950  119.6237
  278 1387.8400   75.4381
  279 1377.2727  170.4166
  280 1384.4048  131.0253
  281 1364.0773   30.6153
  282 1365.5950    0.0000
  283 1263.0690  118.0096
  284 1278.3458  173.7429
  285  720.2121   48.1087
  286 1332.0837  160.9315
  287 1351.8052  200.0000
  288 1440.4427  114.6486
  289 1459.5106  149.1217
  290 1432.4468   68.3181
  291  236.2809  200.0000
  292 1338.6841   50.6852
  293 1402.2675   33.0354
  294 1377.2208    0.0000
  295 1318.9773  161.0797
  296 1420.1816  172.9060
  297 1416.4678  200.0000
  298  724.9741  122.1986
  299 1342.4729  147.5203
  300 1341.1787   64.7367
  301  704.1998  116.2129
  302 1352.3175  120.9809
  303  731.8505  142.1729
  304 1404.1692  132.3677
  305 1442.1241  167.1472
  306 1420.5845  172.3282
  307 1473.4928   41.2933
  308 1463.5496   85.2143
  309  380.9012  142.1862
  310  383.0384  112.6518
  311 1477.6532   38.6268
  312 1500.0000   33.1631
  313  345.6237  147.4535
  314 1495.3862  105.2789
  315 1473.1342   80.1840
  316 1500.0000  106.8777
  317 1453.1462  108.7552
  318   45.1970  145.2761
  319   52.6908  200.0000
  320   49.7803    0.0000
  321    0.0000   55.6675
  322    0.0000   92.9771
  323   46.5033   98.3667
  324  190.3218    0.0000
  325   81.0384   64.4434
  326  105.5367   79.3596
  327  120.0431  107.4915
  328  151.6968    0.0000
  329 1463.0536  200.0000
  330  145.3720  156.5088
  331  233.6686   60.7749
  332  202.1300  158.6425
  333  288.1610   90.0898
  334  268.6907  122.7006
  335  257.7418  125.2954
  336  258.6466  166.8571
  337  330.8271    0.0000
  338  459.0013   34.8564
  339  537.6639  169.0408
  340  517.8870  200.0000
  341  479.0110  182.6570
  342  483.0630   50.6522
